risklabel,value,classs,codelabel
a,3,B,node2
c,9,B,node1
b,7,C,node1
c,8,A,node1
a,2,C,node1
b,7,C,node1
c,2,A,node1
a,8,C,node1
c,9,A,node2
b,6,B,node3
b,10,A,node1
a,4,B,node1
c,5,C,node3
a,6,B,node1
a,10,A,node3
b,2,C,node3
a,1,A,node3
b,1,B,node3
c,5,C,node3
a,5,B,node1
b,3,A,node3
c,1,A,node3
a,5,B,node3
b,5,C,node3
b,1,A,node3
a,1,C,node3
c,9,B,node2
c,8,C,node2
a,7,C,node2
a,5,C,node3
c,8,B,node2
a,1,A,node2
c,6,C,node1
a,2,A,node2
c,9,B,node1
a,7,B,node1
a,10,A,node3
b,2,B,node2
a,6,A,node3
b,5,A,node3
b,10,A,node3
a,8,C,node3
a,5,B,node1
c,2,B,node1
c,1,A,node1
b,6,B,node1
c,9,A,node2
c,8,A,node3
a,5,B,node2
c,2,C,node2
a,8,A,node3
c,5,B,node2
b,9,B,node3
b,5,C,node1
b,4,B,node2
b,10,C,node3
c,7,B,node3
b,8,A,node2
c,5,A,node3
c,5,B,node2
c,6,B,node1
b,6,B,node2
b,8,B,node2
c,10,C,node3
a,7,C,node3
b,5,C,node3
b,5,A,node1
c,8,A,node3
a,7,B,node2
b,8,B,node2
b,1,C,node1
c,4,C,node2
c,10,A,node3
b,1,B,node2
a,9,B,node1
b,5,C,node2
a,8,A,node3
c,5,B,node1
b,10,C,node2
c,6,A,node3
c,3,B,node3
c,5,B,node3
b,8,A,node1
c,10,B,node1
b,1,A,node3
c,8,B,node3
c,2,A,node3
b,9,C,node2
c,5,A,node2
a,1,A,node2
a,6,A,node2
a,2,B,node3
a,9,B,node3
a,7,C,node1
a,7,A,node3
c,7,C,node1
c,7,C,node3
a,2,B,node1
c,1,A,node1
b,10,C,node1
b,10,A,node3
b,8,A,node3
a,4,C,node2
a,5,C,node1
b,8,B,node2
c,7,C,node3
a,9,B,node2
c,8,B,node2
c,7,C,node2
b,8,C,node1
a,1,A,node1
b,6,B,node3
a,10,B,node1
c,8,C,node1
c,9,A,node3
b,2,C,node2
b,7,B,node3
a,8,B,node1
b,3,C,node2
b,2,A,node2
c,8,B,node1
c,4,C,node2
a,4,C,node3
a,4,C,node3
a,10,C,node2
b,5,B,node3
c,8,A,node1
a,4,A,node2
a,10,A,node2
a,5,B,node1
c,2,B,node3
c,5,C,node2
b,8,C,node1
b,4,B,node1
a,2,B,node1
a,10,A,node2
b,3,C,node1
b,4,B,node3
a,5,C,node2
b,2,C,node2
c,9,A,node2
b,10,A,node2
c,7,A,node3
a,9,B,node3
b,2,B,node2
c,3,B,node2
b,6,C,node3
a,5,A,node2
b,8,B,node1
c,10,C,node2
c,3,A,node2
c,4,A,node3
a,1,B,node3
b,10,B,node1
c,8,A,node3
a,9,A,node2
c,5,C,node1
c,6,C,node2
b,10,A,node2
c,5,C,node3
a,3,B,node2
b,1,B,node1
c,8,B,node3
b,9,C,node2
a,9,B,node3
b,2,C,node1
b,8,A,node1
c,1,A,node3
c,10,C,node3
a,4,A,node3
b,5,A,node3
c,4,C,node2
b,3,C,node2
a,6,C,node2
a,9,A,node2
b,9,B,node2
c,2,C,node3
b,1,C,node1
a,10,B,node3
c,1,C,node1
b,3,B,node3
c,7,A,node1
b,3,A,node2
c,6,C,node3
a,1,A,node3
a,10,C,node2
a,10,C,node1
b,7,A,node1
a,5,C,node2
c,7,C,node2
a,1,B,node1
b,8,C,node1
c,1,A,node2
b,7,B,node2
a,9,A,node1
c,2,A,node2
a,3,B,node3
b,8,C,node3
a,8,C,node3
a,9,C,node2
b,1,A,node3
c,10,B,node3
a,8,B,node2
b,1,A,node1
b,9,C,node2
c,10,B,node2
a,4,B,node2
b,4,C,node2
b,5,C,node2
c,7,C,node3
b,3,B,node1
b,2,B,node1
b,5,A,node3
b,9,B,node1
a,7,B,node2
a,4,C,node3
b,9,B,node3
a,6,A,node1
b,9,B,node2
a,10,A,node1
b,1,C,node1
a,2,B,node1
c,9,A,node3
b,3,A,node2
c,10,C,node2
c,9,C,node1
c,3,A,node2
b,10,C,node3
c,10,C,node3
a,4,C,node3
a,3,C,node3
b,9,C,node1
c,5,C,node3
a,1,B,node2
a,4,A,node3
c,2,A,node3
c,9,C,node1
c,8,C,node1
b,8,A,node2
a,6,C,node2
a,5,A,node1
b,4,C,node3
a,9,B,node1
a,9,C,node3
a,4,A,node1
b,5,C,node3
c,5,B,node2
c,10,C,node2
b,5,C,node3
a,6,C,node2
b,7,B,node1
a,3,B,node2
c,2,A,node3
b,1,A,node3
b,8,B,node1
a,5,C,node2
a,3,A,node2
b,7,C,node3
a,5,C,node3
c,4,B,node2
a,2,A,node3
a,1,B,node1
a,6,B,node2
c,3,B,node2
c,9,A,node2
c,10,A,node3
a,3,C,node2
c,7,C,node2
c,3,C,node2
c,4,A,node1
c,1,A,node2
c,8,A,node2
c,6,C,node2
b,1,B,node3
b,6,A,node1
a,3,C,node3
b,6,C,node1
b,7,A,node3
c,8,B,node2
a,2,C,node1
c,4,A,node2
a,7,C,node1
a,4,B,node1
a,10,A,node3
c,7,A,node2
a,6,C,node3
b,9,B,node2
c,8,A,node1
c,8,A,node2
a,1,B,node3
c,7,C,node1
b,5,B,node3
a,1,B,node1
c,7,C,node1
b,8,C,node2
a,5,C,node1
c,6,C,node3
a,3,C,node1
a,5,B,node2
a,10,B,node3
b,9,A,node2
a,4,B,node1
a,10,A,node3
a,8,C,node3
a,9,A,node2
a,10,A,node3
a,5,C,node3
a,4,B,node2
a,3,A,node1
b,2,B,node3
a,6,A,node3
a,3,A,node3
a,10,C,node1
b,7,B,node1
c,2,A,node1
c,10,C,node3
a,10,B,node2
c,6,B,node1
c,7,B,node2
c,6,C,node2
c,6,A,node1
a,4,A,node1
a,10,C,node3
b,3,A,node1
b,2,A,node3
a,7,B,node2
b,10,C,node3
a,1,A,node3
b,6,B,node1
b,8,C,node3
c,10,A,node1
b,5,A,node3
c,1,C,node1
b,2,B,node2
a,10,C,node1
b,6,B,node2
a,10,A,node1
a,5,B,node2
b,8,B,node2
c,10,B,node3
a,3,C,node3
b,6,C,node1
b,6,A,node1
b,2,A,node1
b,4,C,node2
b,10,C,node1
a,3,C,node3
c,1,B,node3
a,6,C,node2
b,5,C,node3
a,7,C,node2
b,8,C,node3
a,3,B,node1
a,6,B,node2
b,2,B,node2
c,1,A,node3
c,8,A,node3
a,2,B,node1
b,9,B,node1
c,6,C,node1
c,9,A,node2
a,9,B,node2
a,9,B,node1
a,9,B,node1
b,8,A,node1
c,3,A,node3
a,10,C,node3
b,4,B,node1
b,9,A,node1
c,1,C,node1
b,3,A,node1
b,9,A,node2
a,8,C,node1
b,10,C,node1
b,5,A,node2
c,4,C,node1
b,4,C,node3
c,1,B,node1
b,10,B,node1
c,4,A,node1
c,8,C,node3
b,1,C,node2
a,8,C,node2
c,4,A,node3
b,1,A,node3
b,4,A,node3
b,10,C,node3
c,4,A,node1
a,4,A,node1
c,4,B,node1
c,5,B,node1
c,6,A,node3
b,8,C,node3
b,4,C,node2
b,3,B,node3
b,9,B,node1
a,10,C,node3
c,2,B,node3
a,8,A,node3
c,1,B,node3
c,9,B,node1
c,2,A,node3
a,7,A,node1
a,1,A,node2
b,8,C,node3
c,6,B,node3
b,2,B,node3
a,8,A,node1
c,2,B,node1
a,2,C,node3
c,3,B,node1
b,3,C,node3
b,7,B,node3
b,8,C,node2
c,9,C,node2
b,10,A,node2
a,6,A,node3
a,10,B,node1
b,7,A,node1
b,5,B,node2
b,6,C,node2
a,10,C,node2
b,4,B,node2
c,7,A,node1
b,7,B,node1
a,3,C,node1
a,3,C,node3
c,7,B,node2
b,1,B,node3
b,3,C,node2
a,8,B,node2
b,4,A,node1
b,2,B,node2
c,8,A,node3
a,2,C,node2
b,2,C,node2
a,9,A,node1
b,10,A,node2
a,10,B,node2
c,9,A,node2
a,5,B,node3
c,4,C,node1
b,6,A,node2
a,2,C,node2
c,3,B,node1
a,4,C,node1
b,9,B,node1
c,1,C,node3
c,8,C,node1
a,3,B,node2
a,6,B,node2
a,9,B,node2
a,2,A,node1
a,5,B,node1
a,4,B,node2
b,7,B,node3
b,4,A,node2
c,10,A,node2
a,10,B,node1
b,3,A,node2
c,8,B,node1
c,2,C,node2
a,8,C,node2
a,7,C,node1
a,10,A,node3
a,3,C,node3
c,3,B,node1
a,8,C,node1
b,1,B,node1
c,8,C,node1
c,4,B,node1
a,10,C,node1
a,8,A,node2
c,8,B,node2
b,2,A,node3
a,8,B,node2
b,4,A,node1
b,3,C,node3
a,1,C,node1
b,9,C,node3
a,1,A,node1
b,9,C,node3
b,6,A,node1
a,6,B,node2
b,10,C,node1
a,2,C,node2
c,8,A,node2
b,3,A,node3
c,6,A,node3
a,5,B,node2
a,6,A,node3
a,3,C,node1
b,3,C,node3
b,2,C,node2
b,7,A,node2
c,6,A,node1
a,4,A,node1
b,1,B,node3
b,7,C,node2
c,6,C,node1
a,3,A,node3
a,2,A,node2
a,8,C,node2
a,7,B,node1
c,10,C,node1
b,2,B,node1
a,4,A,node2
a,10,C,node1
c,6,A,node3
a,3,B,node2
c,8,A,node3
c,7,B,node2
c,6,B,node2
c,7,A,node3
a,3,B,node3
a,10,A,node1
a,8,A,node2
a,9,A,node1
b,2,B,node3
c,3,B,node3
c,8,C,node2
b,7,A,node1
b,4,B,node1
a,1,C,node3
c,10,C,node1
c,10,C,node3
c,7,C,node2
b,8,A,node2
b,3,C,node2
c,9,B,node3
a,4,B,node2
c,1,B,node1
b,6,C,node3
b,2,C,node2
a,5,B,node2
b,3,A,node2
b,2,B,node2
c,4,C,node1
b,5,A,node2
b,8,A,node3
c,4,C,node1
b,7,B,node1
a,6,C,node2
c,2,A,node2
b,7,B,node1
c,8,C,node2
a,4,B,node1
a,10,B,node2
a,5,C,node1
a,6,A,node1
c,8,A,node2
c,7,C,node3
a,8,C,node3
c,5,C,node2
c,6,B,node1
a,6,A,node2
b,6,C,node1
b,8,C,node1
c,7,B,node2
b,7,B,node3
a,10,B,node3
b,2,B,node1
a,6,C,node2
c,6,C,node3
b,10,C,node1
c,5,C,node2
a,5,A,node1
b,5,B,node3
c,8,A,node1
b,10,C,node2
c,10,C,node1
c,3,A,node2
c,1,B,node3
c,5,B,node3
c,2,C,node2
b,3,A,node3
b,4,B,node3
a,2,C,node3
a,1,B,node2
b,9,B,node3
a,4,B,node1
b,6,C,node3
a,10,B,node1
a,5,C,node3
a,7,C,node1
c,5,B,node2
a,4,A,node1
a,5,C,node3
a,3,C,node1
a,2,C,node1
c,4,C,node2
a,7,B,node3
b,4,B,node3
c,10,B,node3
c,9,C,node2
b,7,B,node2
c,10,A,node2
b,8,A,node1
a,1,C,node1
a,7,A,node2
b,2,B,node1
c,6,A,node1
c,1,B,node1
c,1,C,node1
c,8,C,node2
a,8,A,node3
c,3,C,node3
a,4,B,node1
b,9,C,node2
c,2,A,node2
a,4,B,node3
b,4,A,node2
c,4,C,node3
b,3,C,node2
b,8,B,node3
a,5,B,node2
c,8,A,node2
b,3,B,node2
a,1,A,node3
c,2,C,node3
c,6,B,node3
b,6,C,node1
c,10,C,node3
c,7,A,node3
a,4,C,node3
c,10,C,node3
a,2,B,node1
b,6,B,node1
b,6,A,node2
c,10,C,node1
c,10,C,node3
a,8,A,node3
a,3,A,node3
a,4,B,node2
c,4,C,node2
a,7,A,node1
a,7,B,node3
c,6,B,node2
a,9,B,node3
b,8,A,node2
a,1,B,node3
b,2,A,node2
a,3,A,node2
c,7,C,node1
b,9,B,node2
a,6,A,node1
a,3,A,node2
a,10,B,node3
b,5,B,node2
b,4,A,node1
a,1,A,node2
c,8,A,node1
c,2,B,node1
a,6,C,node2
b,6,B,node2
b,7,A,node2
c,1,B,node3
c,5,B,node2
c,5,C,node3
a,6,B,node3
b,5,C,node3
c,5,B,node2
b,3,A,node3
b,3,B,node1
b,9,B,node3
a,7,C,node2
a,3,A,node2
a,9,A,node1
b,5,B,node1
a,2,A,node1
a,2,B,node3
b,8,A,node2
b,4,C,node2
a,6,C,node3
a,3,A,node2
c,4,A,node2
a,2,C,node2
c,2,A,node3
b,4,B,node1
a,9,A,node3
b,6,A,node2
b,9,B,node1
c,7,B,node3
c,10,C,node3
b,3,B,node3
a,4,A,node2
b,6,C,node2
b,1,B,node1
c,3,A,node3
b,5,B,node3
a,2,B,node1
a,9,C,node2
a,10,C,node2
b,5,A,node1
b,6,B,node2
b,2,A,node1
c,4,B,node1
c,7,B,node3
b,3,A,node2
c,6,B,node2
c,10,B,node2
c,4,C,node2
a,4,B,node2
c,3,C,node1
b,4,C,node3
c,2,C,node2
a,8,C,node1
a,5,B,node2
c,8,B,node2
b,6,C,node2
b,1,C,node3
c,7,C,node2
c,9,C,node1
b,3,B,node1
c,2,B,node2
a,2,A,node3
a,4,A,node2
b,7,B,node3
b,3,A,node2
c,8,A,node3
b,9,B,node1
a,4,C,node2
c,10,A,node2
c,6,C,node2
c,9,B,node2
b,10,A,node1
c,7,A,node2
c,2,B,node2
b,10,C,node1
a,3,C,node1
b,9,B,node3
c,10,A,node3
b,5,A,node2
a,5,C,node2
b,10,B,node3
c,1,C,node1
a,5,B,node2
b,5,C,node3
b,1,A,node1
c,6,B,node2
a,1,A,node1
a,1,A,node2
c,9,A,node2
a,4,C,node1
b,7,C,node1
a,3,B,node3
c,1,B,node2
c,5,C,node3
c,3,C,node2
a,8,C,node1
a,5,C,node3
a,7,A,node2
b,7,A,node2
b,5,A,node3
a,9,B,node1
c,8,C,node1
c,6,A,node3
a,9,B,node3
b,1,A,node3
a,4,B,node2
c,4,B,node3
b,4,C,node2
c,7,C,node1
b,4,B,node1
b,6,C,node3
a,4,C,node2
a,5,C,node1
c,7,C,node1
c,2,C,node1
b,5,A,node3
a,10,B,node2
c,4,A,node3
a,7,C,node2
c,6,A,node1
a,7,B,node2
b,3,C,node1
b,1,A,node2
b,1,C,node3
c,8,A,node2
b,8,B,node1
b,1,C,node2
b,2,B,node3
b,9,C,node3
c,3,A,node3
c,6,B,node2
c,6,B,node2
b,10,B,node3
c,5,A,node1
c,3,C,node3
b,4,B,node3
c,3,A,node3
c,4,A,node2
a,5,C,node2
a,7,A,node2
a,1,A,node3
c,4,C,node1
b,4,C,node2
b,3,B,node1
b,7,B,node1
a,5,B,node2
b,9,A,node1
c,2,A,node3
a,3,B,node2
c,3,A,node3
c,4,C,node3
c,8,A,node3
c,8,B,node3
b,10,A,node3
c,10,B,node1
a,2,B,node2
c,8,A,node1
a,5,B,node1
a,3,A,node2
a,3,B,node2
a,6,C,node3
b,1,B,node1
a,4,A,node2
b,1,A,node2
a,8,A,node2
b,6,C,node1
a,4,C,node1
a,9,A,node1
c,7,B,node3
c,7,C,node3
b,2,A,node3
a,8,A,node1
b,10,B,node2
c,5,B,node2
b,10,C,node2
a,1,A,node1
a,5,C,node1
c,8,A,node3
a,1,B,node3
a,6,A,node1
a,6,A,node2
a,2,C,node3
a,10,A,node1
c,2,B,node1
c,10,C,node2
b,7,C,node3
a,8,A,node1
b,6,B,node1
c,6,C,node3
b,8,C,node1
c,9,A,node2
c,5,A,node3
c,5,C,node1
a,2,A,node3
c,7,B,node3
c,9,A,node2
c,2,C,node3
b,10,C,node2
b,3,A,node3
b,2,A,node3
b,6,B,node1
a,9,A,node1
a,8,C,node1
b,2,A,node3
b,7,C,node2
b,8,A,node1
a,3,A,node1
a,1,A,node3
c,9,C,node2
c,5,B,node1
c,9,A,node1
b,10,B,node3
c,1,A,node3
c,2,A,node3
b,2,B,node3
a,1,B,node1
c,4,B,node2
a,10,B,node1
b,8,C,node3
c,5,C,node2
a,6,B,node3
b,5,C,node3
a,9,B,node3
a,4,B,node3
b,9,C,node1
c,8,C,node2
a,3,B,node2
c,8,B,node2
c,2,B,node1
b,5,A,node1
a,6,C,node1
c,3,C,node1
c,2,B,node2
c,6,B,node3
a,9,C,node3
b,3,C,node1
c,1,C,node1
a,2,B,node2
b,9,B,node1
c,1,A,node3
c,2,A,node3
b,4,B,node2
a,9,A,node1
a,7,B,node3
a,8,C,node3
b,10,C,node1
b,2,C,node3
c,3,C,node2
c,4,B,node1
a,5,B,node1
b,10,B,node1
a,6,B,node3
c,4,C,node3
c,1,B,node2
c,10,A,node3
c,2,C,node2
c,2,C,node3
a,6,C,node3
c,9,C,node1
a,1,B,node1
c,2,B,node2
b,8,C,node3
a,9,A,node2
c,3,A,node3
c,6,C,node1
b,7,B,node2
c,10,C,node2
a,2,C,node3
b,7,C,node3
b,1,A,node3
c,6,C,node1
a,3,C,node3
c,6,B,node3
b,2,A,node3
b,1,B,node2
a,2,A,node2
c,7,C,node1
b,7,C,node1
b,10,B,node1
b,7,C,node2
a,10,A,node2
b,7,C,node2
c,10,B,node2
a,10,B,node3
a,7,A,node3
a,10,A,node3
b,10,A,node3
a,5,C,node1
a,1,A,node3
b,5,C,node3
c,10,A,node1
a,7,B,node3
a,6,A,node1
a,6,B,node3
a,1,C,node2
c,7,A,node3
b,7,C,node2
a,6,A,node2
a,2,C,node1
b,10,C,node2
b,4,A,node2
a,8,C,node2
c,6,A,node1
a,7,B,node3
a,7,B,node2
a,4,B,node2
c,10,B,node1
c,1,C,node3
a,4,B,node3
b,7,A,node2
b,6,B,node1
b,6,B,node3
c,6,A,node2
a,3,B,node3
a,2,B,node2
a,10,A,node2
c,10,C,node1
a,9,B,node2
b,10,B,node1
c,7,A,node2
c,1,A,node1
a,6,C,node2
c,3,B,node2
a,10,B,node2
b,5,B,node1
c,4,B,node3
a,7,A,node2
a,3,B,node1
c,5,B,node2
a,5,B,node1
b,5,C,node2
c,7,B,node2
b,8,B,node3
b,10,B,node2
b,2,A,node2
b,4,C,node1
b,2,C,node3
b,10,A,node2
b,5,B,node1
b,10,C,node3
c,2,A,node1
a,10,A,node2
a,5,C,node2
a,2,A,node3
b,8,C,node3
a,1,C,node1
a,8,B,node1
a,4,C,node2
b,8,A,node2
c,5,B,node3
c,7,C,node1
b,1,B,node1
a,2,A,node2
b,5,A,node1
a,4,A,node2
b,2,C,node1
c,10,B,node3
a,10,C,node2
b,10,C,node3
c,9,B,node1
a,8,C,node1
c,10,B,node3
b,2,C,node2
c,2,A,node3
b,8,B,node3
b,5,A,node1
b,6,B,node1
b,4,A,node3
b,9,A,node1
a,3,B,node1
c,2,B,node1
b,9,A,node1
c,4,A,node3
c,10,A,node2
b,8,C,node3
c,6,C,node3
b,7,A,node3
c,7,B,node3
a,6,B,node2
c,3,C,node1
a,10,B,node1
b,1,A,node1
b,9,C,node2
a,3,C,node3
c,3,A,node1
b,1,C,node1
c,7,B,node2
a,1,B,node2
a,5,B,node1
a,6,B,node1
a,7,B,node2
a,8,B,node3
b,3,B,node3
a,3,C,node1
b,10,B,node1
a,2,C,node1
c,10,B,node3
a,3,A,node2
c,6,A,node1
c,8,B,node2
b,6,A,node1
a,1,B,node2
a,8,A,node1
b,7,B,node2
b,9,C,node3
b,5,C,node2
b,1,B,node3
b,3,C,node2
c,1,B,node2
a,2,B,node2
c,1,B,node3
c,3,A,node2
b,2,A,node2
c,5,A,node2
c,9,B,node1
b,6,B,node3
c,7,C,node2
b,4,B,node2
a,9,A,node1
b,2,A,node3
a,9,B,node3
a,7,A,node2
b,1,C,node1
c,5,B,node3
c,6,C,node2
a,1,C,node2
b,6,C,node1
b,1,C,node3
c,5,B,node1
a,5,C,node1
c,1,C,node1
a,5,C,node3
c,7,C,node1
b,10,B,node3
b,7,B,node1
c,4,B,node3
b,5,C,node1
c,8,A,node1
a,8,A,node3
a,9,A,node2
a,6,B,node1
b,3,C,node3
c,5,C,node2
a,2,C,node2
a,10,A,node2
b,5,C,node2
b,2,B,node3
c,4,B,node2
a,5,C,node2
b,9,A,node1
b,3,A,node1
c,3,A,node1
b,9,B,node1
a,8,A,node1
b,2,A,node2
b,5,A,node3
a,2,B,node3
a,7,A,node2
a,1,C,node2
c,6,A,node2
c,8,A,node3
a,6,A,node1
b,6,B,node3
a,7,C,node2
c,2,C,node2
a,5,C,node2
a,9,B,node3
c,2,B,node3
b,6,B,node2
b,5,C,node2
b,5,B,node2
a,6,B,node2
a,8,C,node3
b,1,C,node1
a,8,A,node2
b,4,A,node2
b,3,A,node3
c,4,B,node2
a,7,A,node2
c,2,C,node3
c,5,B,node1
a,5,A,node2
a,4,C,node1
c,1,B,node1
c,1,A,node2
a,9,A,node3
b,5,A,node2
c,9,B,node3
c,6,B,node1
b,1,A,node1
b,5,A,node2
b,8,B,node1
b,2,C,node2
a,9,A,node3
b,7,C,node1
b,3,A,node3
b,7,A,node1
a,10,A,node1
c,4,C,node3
c,6,C,node3
b,6,A,node1
b,8,C,node3
a,1,C,node3
c,2,B,node2
b,4,A,node2
c,6,A,node3
b,8,B,node2
b,4,B,node3
b,9,A,node3
a,2,B,node2
c,8,B,node1
b,3,A,node3
c,1,C,node3
a,10,A,node1
c,5,B,node3
b,10,A,node1
c,9,A,node1
c,4,A,node2
c,1,B,node2
a,9,A,node1
c,10,B,node1
b,6,C,node2
b,3,C,node3
b,10,B,node1
b,2,A,node1
c,4,C,node3
b,5,A,node1
a,5,B,node1
c,7,A,node1
b,5,A,node2
a,2,A,node1
b,9,B,node2
b,5,B,node3
b,3,C,node1
a,1,A,node3
a,5,C,node2
a,4,C,node3
a,8,A,node2
c,8,A,node3
c,3,C,node3
c,4,B,node3
c,5,B,node2
a,9,C,node3
b,2,A,node1
a,2,C,node3
a,1,B,node2
a,2,A,node1
a,7,A,node3
a,1,A,node3
a,5,B,node3
a,7,C,node2
a,8,B,node3
a,7,C,node1
b,3,A,node3
c,2,C,node1
a,3,A,node1
b,1,A,node2
b,9,B,node1
a,3,C,node1
b,1,C,node2
b,10,B,node1
c,9,C,node2
a,4,A,node2
a,6,B,node3
b,3,A,node1
c,8,A,node3
a,6,A,node3
c,9,C,node1
a,5,A,node2
c,10,A,node3
b,10,A,node1
b,4,B,node2
a,8,C,node2
b,8,B,node1
c,1,B,node1
c,2,C,node3
a,5,C,node3
b,3,A,node1
b,6,B,node2
c,9,B,node1
a,10,A,node1
b,1,C,node2
b,7,B,node3
b,3,B,node1
c,8,B,node3
c,6,B,node3
a,10,C,node3
a,6,B,node2
b,6,B,node3
a,4,A,node3
a,1,C,node3
c,3,A,node1
c,4,C,node1
c,10,C,node3
a,8,A,node2
a,5,B,node2
c,5,A,node1
a,9,B,node2
a,5,A,node2
c,5,A,node2
c,6,B,node3
c,3,A,node1
a,1,A,node1
c,5,C,node2
a,9,C,node2
c,1,C,node1
c,5,B,node1
c,8,B,node1
b,5,C,node1
c,6,A,node1
b,10,B,node2
a,5,C,node3
c,8,B,node1
b,3,C,node3
c,9,C,node2
c,5,C,node3
b,4,B,node1
c,8,A,node2
a,7,A,node2
c,7,C,node1
c,9,B,node1
b,3,C,node1
b,6,C,node2
a,10,A,node2
c,10,B,node1
a,3,A,node2
a,3,B,node3
b,5,C,node2
c,5,C,node3
c,4,B,node1
b,8,B,node2
c,4,A,node1
c,1,A,node1
a,9,B,node3
a,8,C,node2
c,7,B,node3
a,5,B,node1
b,1,C,node2
a,9,B,node3
c,4,A,node1
a,10,C,node2
c,3,B,node2
b,8,A,node1
c,4,A,node2
a,2,C,node2
b,1,C,node1
a,9,A,node3
b,4,B,node2
c,4,C,node2
a,4,B,node2
b,8,C,node3
a,3,B,node2
a,9,A,node3
b,1,B,node1
c,5,C,node3
b,5,B,node3
a,10,B,node2
a,1,C,node2
b,8,A,node2
c,3,B,node3
b,5,A,node2
b,6,C,node1
b,8,C,node3
c,1,B,node1
c,7,B,node1
b,3,A,node2
b,2,B,node1
a,6,A,node2
c,7,C,node3
b,4,C,node3
b,2,A,node2
b,3,C,node1
c,7,A,node3
a,2,B,node3
a,2,C,node2
a,9,A,node1
c,3,C,node2
c,3,C,node1
b,6,B,node2
b,5,C,node1
a,6,A,node3
c,8,C,node1
c,5,A,node1
b,10,B,node1
c,7,C,node2
b,3,C,node1
a,4,B,node1
c,4,B,node3
b,7,C,node1
a,6,A,node2
c,3,B,node2
b,1,B,node2
a,6,C,node1
b,2,C,node3
a,6,A,node1
c,2,B,node1
b,6,A,node2
b,7,B,node2
a,4,C,node1
a,8,A,node1
b,3,B,node3
c,10,C,node1
b,6,A,node2
a,9,C,node1
a,10,B,node1
b,10,B,node3
a,3,A,node3
c,10,C,node2
a,2,A,node3
a,8,B,node1
c,8,A,node3
c,5,B,node2
c,8,C,node2
b,6,A,node3
c,8,A,node3
b,1,B,node2
b,3,A,node1
b,9,A,node1
a,5,B,node2
a,10,B,node2
c,7,B,node1
b,7,B,node2
c,2,C,node3
c,1,A,node1
b,4,C,node1
b,4,B,node3
b,6,C,node3
b,7,B,node2
c,3,B,node2
a,7,A,node2
c,1,A,node2
c,8,B,node1
c,4,B,node2
b,7,A,node3
a,9,A,node2
b,7,A,node3
c,7,B,node1
b,10,A,node1
c,3,C,node1
b,3,A,node3
b,4,B,node1
a,2,A,node2
b,6,C,node1
b,2,B,node2
a,5,B,node2
a,2,A,node2
c,5,B,node3
a,10,C,node2
b,10,C,node1
c,8,B,node3
b,10,C,node1
c,1,B,node1
c,5,A,node2
a,3,B,node1
b,8,A,node3
c,5,B,node1
a,4,B,node1
a,8,A,node3
c,2,A,node3
a,6,B,node3
b,9,C,node3
b,7,C,node1
c,7,B,node3
c,1,A,node1
c,9,C,node1
b,10,B,node3
a,9,C,node2
a,9,A,node1
a,5,B,node1
a,9,B,node2
c,3,A,node1
c,1,B,node2
c,8,C,node1
b,4,B,node1
a,1,B,node1
a,9,B,node1
a,5,B,node3
c,7,C,node2
b,7,A,node3
c,9,B,node3
b,6,B,node2
b,2,C,node3
c,1,A,node1
a,10,B,node2
a,10,C,node1
b,8,C,node3
b,3,B,node1
a,8,C,node2
c,1,A,node2
c,4,B,node3
c,10,A,node3
b,6,C,node1
c,8,B,node1
a,3,B,node1
a,3,C,node3
b,7,B,node3
b,8,A,node1
c,2,A,node3
c,1,A,node3
a,1,C,node3
a,6,B,node1
a,4,B,node2
c,5,A,node1
c,2,A,node1
a,4,C,node3
c,10,C,node2
c,5,C,node3
a,9,B,node3
a,1,A,node2
a,3,A,node1
c,8,C,node3
c,7,B,node3
c,7,A,node1
c,6,B,node2
c,4,B,node3
a,4,C,node1
c,2,A,node1
b,7,B,node1
c,8,B,node2
a,5,A,node1
a,3,A,node2
a,7,A,node2
c,5,B,node3
c,10,B,node2
c,6,B,node1
a,1,C,node3
a,8,B,node2
c,10,B,node3
b,2,A,node2
c,9,B,node3
a,10,A,node2
c,5,C,node1
c,10,B,node2
a,7,A,node1
c,9,C,node3
b,1,B,node3
c,5,B,node1
c,4,B,node1
b,9,C,node3
a,9,C,node2
a,6,B,node1
c,2,A,node3
b,4,A,node2
a,5,A,node1
b,2,B,node1
b,5,C,node3
a,9,A,node2
c,6,B,node2
c,1,B,node3
a,3,B,node2
c,7,B,node1
c,3,C,node3
b,1,B,node2
b,5,A,node2
a,4,B,node3
b,10,A,node2
c,6,B,node3
b,9,B,node1
c,6,C,node1
a,6,C,node1
a,2,C,node2
a,8,A,node1
c,7,A,node3
a,5,A,node2
a,2,C,node1
b,3,B,node3
b,4,B,node3
a,9,B,node1
b,8,C,node2
a,2,A,node1
b,10,B,node2
b,9,C,node3
c,4,C,node2
b,9,A,node1
a,3,B,node3
a,10,B,node1
b,4,B,node1
c,7,B,node1
b,9,A,node2
b,3,C,node1
b,10,C,node3
c,3,B,node1
c,8,C,node3
b,9,C,node1
a,1,B,node3
b,3,A,node3
b,6,A,node2
c,6,B,node3
c,3,C,node1
b,3,C,node2
c,2,B,node3
b,7,B,node2
a,9,C,node1
c,2,C,node2
a,5,A,node1
a,6,A,node3
c,4,B,node3
c,10,C,node2
a,1,C,node3
